Time,X,Y,Z
7,-5.9624,0.8630,8.9437
11,1.5691,-0.6276,12.4741
15,6.8254,-2.5890,9.7282
18,-1.7260,-2.8243,6.7470
22,1.6475,-2.9028,9.8851
26,0.1569,0.4707,9.4928
29,-1.8044,-0.9414,9.4144
33,-1.3337,-2.1967,12.2387
37,-1.7260,-0.4707,10.2774
41,-7.0608,1.3337,5.0210
46,4.4718,0.0000,10.6696
49,2.2751,-4.3934,8.5514
53,4.5503,2.1967,7.8453
57,8.9437,-6.2763,7.7669
60,-3.8442,-1.8829,4.0011
64,-1.2553,2.8243,13.9647
68,-1.6475,1.8044,10.9834
72,-0.3138,-2.2751,9.8851
76,4.9426,3.4519,7.0608
79,-4.6287,0.3923,6.0409
83,3.9227,1.4906,10.1989
88,2.4320,0.0785,13.1801
92,-5.0995,0.7061,6.1194
95,7.8453,-2.5890,6.9823
99,-1.3337,2.3536,10.2774
103,-1.9613,-2.3536,7.3746
107,0.0000,-1.0199,14.2785
111,4.1580,4.7072,10.0420
114,-1.2553,-1.0983,1.3337
118,-1.2553,-3.9227,6.1978
122,2.8243,1.0983,17.2597
126,-6.7470,1.4122,7.5315
131,4.7856,-1.0199,9.7282
135,-1.4122,-2.9812,9.7282
138,0.4707,1.8044,8.7083
142,-0.4707,0.4707,8.5514
146,6.9823,-1.6475,10.1205
150,0.9414,3.6088,11.0619
154,1.1768,4.0796,12.7879
157,-5.0210,-3.0597,4.1580
161,5.0210,-5.5702,8.0807
165,-7.6884,3.4519,12.2387
169,2.9028,0.8630,10.7481
174,2.5890,1.5691,16.5536
178,-17.4951,-1.8829,1.2553
182,3.7658,3.0597,12.5525
185,2.6674,-1.7260,8.0807
189,10.9834,-8.4729,7.6100
193,0.5492,2.3536,7.3746
197,3.4519,-0.4707,6.8254
201,0.3923,-0.1569,12.0818
204,9.4144,-0.7845,16.8674
208,-7.4531,-2.8243,0.6276
212,-4.6287,2.1182,11.1404
217,-6.1194,3.5304,12.4741
221,2.8243,-3.7658,3.2166
225,9.1790,-0.9414,7.2961
229,6.1978,4.2365,11.7680
232,-5.4133,-3.3735,11.5326
236,-2.9812,-1.0199,12.7879
240,-13.7293,3.2166,8.5514
244,4.2365,1.6475,9.8066
248,3.4519,-4.4718,3.6088
252,3.2950,3.6873,9.6497
256,-1.4122,2.3536,12.4741
260,0.1569,-1.4122,8.0807
264,-4.6287,-1.6475,12.9448
268,4.7072,-0.5492,10.1989
272,-0.6276,2.0398,5.0995
276,2.5105,-5.0210,5.0995
279,4.0011,5.1779,13.1801
283,3.6088,-0.3138,12.1602
287,0.1569,0.0000,12.5525
291,-1.8829,-0.6276,7.5315
295,1.8829,-2.0398,5.9624
300,1.4906,-1.4122,7.2961
303,4.6287,5.6486,14.9846
307,3.2166,0.3138,8.4729
311,-4.4718,-1.7260,10.9834
315,-0.3923,0.6276,11.0619
319,1.2553,1.8829,7.4531
323,-3.0597,-4.0796,11.2188
326,4.6287,3.0597,13.1801
330,-1.6475,-0.2354,5.0210
334,5.0995,-0.3923,7.1392
338,-1.4122,0.3138,12.2387
343,6.9039,-1.3337,9.4928
347,-5.2564,3.2950,10.9834
350,-1.8044,-1.1768,12.4741
354,0.4707,-4.7072,11.2973
358,-3.6088,2.0398,9.9636
362,-1.2553,-2.5105,2.2751
366,6.4332,-2.3536,10.1205
370,8.2376,-4.0796,10.1205
374,-5.8840,0.5492,12.6310
377,-6.1194,-0.5492,11.9249
381,-4.0796,-2.4320,3.7658
386,4.5503,0.0000,5.8840
390,11.9249,2.1967,9.4144
394,-0.9414,-1.4122,11.5326
398,2.5890,0.4707,9.0221
401,-6.9039,-0.7061,8.5514
405,6.1978,-6.5116,13.1801
409,20.0448,13.3370,12.3172
413,20.0448,-9.2575,-8.5514
417,7.6884,5.0210,11.2973
421,20.0448,1.3337,7.1392
425,6.9039,-9.1006,12.7094
429,-20.0840,3.8442,8.2376
433,-20.0840,-7.2177,8.6299
437,-19.1426,0.2354,13.3370
441,-4.7072,8.5514,10.1205
445,4.8641,8.3945,4.1580
449,15.0630,-5.8055,7.2961
453,7.3746,1.2553,6.5901
456,-2.5105,-4.7072,11.7680
460,-9.1006,3.6088,11.0619
464,0.7845,-1.7260,9.1790
468,-5.1779,0.4707,2.1967
473,1.1768,-7.9238,9.6497
477,-5.1779,4.7072,9.0221
480,13.1801,-2.4320,12.0033
484,0.4707,-2.1182,5.1779
488,3.8442,-1.7260,11.3757
492,5.2564,3.4519,9.4928
496,-5.8055,0.6276,7.6884
500,-5.0995,-1.1768,9.4144
503,-3.2950,-3.4519,12.6310
507,-5.4133,4.3934,7.2177
512,6.5116,-1.1768,7.2177
516,7.5315,-2.0398,9.5713
520,-1.8044,0.2354,11.2973
524,-6.8254,1.4122,12.5525
527,0.0000,-3.8442,10.0420
531,-1.1768,1.0199,9.1006
535,-7.5315,3.0597,8.7868
539,2.4320,1.1768,12.5525
543,-3.9227,-2.3536,7.6100
547,0.6276,2.3536,13.1017
550,-3.1381,-0.3138,9.6497
555,2.9028,-4.3149,8.6299
559,-2.8243,-3.2950,7.7669
563,2.4320,-1.4122,12.5525
567,2.4320,0.0785,5.2564
571,6.2763,2.3536,10.6696
574,2.9812,-1.5691,11.2973
578,-2.6674,0.2354,11.7680
582,-1.8829,-1.3337,6.5116
586,6.0409,3.1381,9.0221
590,5.2564,-2.9028,6.9823
