Time,X,Y,Z
7,6.0409,-1.8829,3.5304
11,-1.1768,-2.1182,6.2763
14,-6.9823,-0.4707,14.8277
18,2.1967,2.2751,13.4155
22,2.5105,-0.8630,7.4531
26,-1.0983,-0.5492,3.7658
30,-5.0210,-1.4122,8.3945
33,7.9238,-2.9028,11.2188
37,5.8840,-0.4707,12.0818
41,-8.6299,2.9028,13.1017
46,-10.4343,0.9414,7.4531
50,6.0409,-4.1580,3.7658
53,7.6100,-1.9613,8.3160
57,8.7083,-2.8243,10.8265
61,-6.2763,1.5691,9.3359
64,3.0597,-2.6674,13.8078
68,-4.7072,0.5492,7.7669
72,2.5105,-2.1967,7.0608
76,4.2365,-1.8829,8.1591
79,-6.1978,-1.6475,5.8840
83,1.2553,3.0597,11.5326
88,1.4906,-5.9624,9.4928
92,-5.0210,-1.0983,5.7271
96,11.1404,-4.6287,7.1392
99,1.7260,2.5105,11.6895
103,-6.3547,-1.9613,6.4332
107,2.1967,-1.0199,12.7879
111,-0.6276,-1.4122,7.6884
115,-4.2365,-1.4122,8.4729
118,0.9414,-0.6276,11.2188
122,2.9812,-8.0022,6.0409
126,0.2354,3.5304,5.1779
131,2.8243,1.1768,18.9857
135,-3.6873,-0.9414,5.6486
139,-0.2354,2.1182,8.7083
142,-1.3337,1.0983,9.4928
146,-1.5691,-5.2564,6.3547
150,0.3138,2.5105,9.1006
154,-2.9812,-1.1768,9.5713
158,-2.1967,-2.5105,5.4917
161,3.7658,-2.5890,12.7879
165,0.9414,0.3923,9.0221
169,1.7260,0.2354,3.6088
174,1.0983,-1.6475,7.6884
178,1.9613,3.8442,10.6696
182,-3.9227,-2.2751,11.9249
185,-1.8044,2.0398,8.2376
189,-1.8829,-1.6475,8.1591
193,-4.3934,-0.9414,5.0995
197,12.5525,5.1779,16.3183
201,-2.8243,4.8641,9.8066
205,1.0199,-1.3337,3.4519
208,-0.2354,1.4906,12.7094
212,-9.1006,-0.1569,15.9260
217,6.1978,-1.0983,5.1779
221,0.0785,-1.7260,10.1989
225,0.7061,1.8829,8.6299
229,0.0000,-6.0409,8.7868
232,2.9812,2.4320,8.3945
236,-0.7061,0.2354,14.3569
240,0.0000,-2.2751,8.7868
244,-4.4718,-0.4707,9.3359
248,-10.4343,-1.3337,8.0022
252,5.4133,3.6088,8.5514
256,1.8829,0.3138,7.1392
260,6.2763,-0.5492,9.8851
264,-7.5315,-1.6475,14.3569
268,-2.1967,1.0199,8.3945
272,1.4122,0.0000,6.9823
275,-0.1569,-1.6475,11.3757
279,6.4332,1.8044,6.3547
283,-0.4707,2.7459,6.4332
287,-0.7845,1.6475,11.9249
291,4.1580,-3.8442,16.0829
295,1.8044,-2.5105,7.2961
299,-10.8265,1.0199,12.0818
303,0.2354,-1.5691,11.6111
307,2.1967,-4.3934,9.1006
311,-5.7271,3.4519,14.3569
315,-4.9426,-1.3337,7.2177
319,0.8630,-6.1194,9.1790
323,1.1768,2.1967,9.8851
326,3.1381,2.5105,9.1006
330,9.6497,-3.1381,14.3569
334,6.0409,0.0000,3.7658
338,-4.0011,0.0785,4.9426
343,-0.4707,-1.9613,11.1404
346,10.5912,1.6475,13.0232
350,3.6873,0.7845,2.5105
354,-3.2166,0.0000,13.6509
358,-10.1989,-5.0210,8.7083
362,-2.8243,4.3934,12.6310
366,-10.0420,-2.2751,5.2564
370,15.7691,-1.4906,11.4542
373,4.3934,-1.0199,0.7845
377,4.3149,0.6276,14.2000
381,-2.6674,-5.6486,17.6520
386,-4.5503,1.1768,12.3956
390,-4.8641,1.1768,4.0011
394,1.7260,-4.5503,10.0420
398,6.7470,-4.4718,5.4133
401,4.7072,3.9227,10.0420
405,-10.2774,-2.1182,15.2984
409,-1.0199,-2.1967,7.9238
413,0.9414,2.5105,5.5702
417,2.5105,1.7260,13.4940
421,-2.8243,1.7260,13.0232
424,8.3160,-5.4917,11.6111
429,-10.1989,3.2950,2.5105
433,2.2751,-1.4906,10.5127
437,1.7260,0.9414,12.8663
441,2.8243,3.6873,11.2188
445,3.6873,2.9028,9.7282
449,0.4707,-2.9812,5.0210
452,1.4122,0.2354,9.5713
456,2.9028,-2.5105,13.8862
460,5.5702,-1.1768,12.1602
464,0.7845,1.1768,6.6685
468,-2.1967,-0.3923,8.2376
472,5.5702,-4.9426,8.6299
476,-1.5691,-4.5503,11.6111
480,3.7658,1.0983,5.0210
484,-5.7271,3.1381,7.5315
488,8.5514,1.7260,8.7083
492,7.5315,0.1569,8.5514
495,-0.7845,0.9414,7.3746
499,-2.5105,0.8630,12.7094
503,-1.4122,2.1182,7.2177
507,9.7282,-7.6100,1.8829
512,-1.6475,2.1967,10.2774
515,-2.4320,-2.2751,11.8464
519,1.8044,15.5337,5.0210
523,20.0448,-14.1216,20.0448
527,18.6719,-12.4741,-20.0840
531,20.0448,3.3735,1.9613
535,20.0448,17.2597,4.5503
539,-4.4718,2.5105,3.6088
543,-15.5337,-11.4542,-0.6276
547,-20.0840,-6.2763,12.2387
551,-0.7845,-20.0840,20.0448
556,-5.0210,11.3757,2.9812
559,10.3558,-5.0210,3.0597
563,10.0420,0.7845,5.2564
567,-1.4122,3.2950,11.5326
571,-3.8442,-1.5691,17.5735
575,-5.3348,0.7061,9.8851
579,-0.3923,0.7061,2.7459
582,2.7459,2.9028,9.8066
586,-2.0398,-2.1967,9.4144
590,-5.2564,1.7260,16.9459
594,1.8044,1.8044,10.6696
599,2.8243,-0.5492,5.1779
603,9.4144,-2.4320,10.6696
606,1.4122,2.7459,10.5912
610,-0.2354,-6.1978,14.5138
614,-1.5691,-4.3149,14.0431
618,-6.5901,-2.1967,5.7271
622,1.5691,-1.9613,2.1967
626,9.6497,-3.7658,12.1602
630,-5.0210,5.0210,14.5923
633,3.2950,0.3138,12.0818
637,-2.2751,-1.0199,3.2166
642,-4.0796,2.7459,7.4531
646,-4.0011,-4.3934,11.2973
650,3.4519,-0.7061,6.1978
654,3.6088,-0.7061,6.9823
657,3.7658,-1.9613,12.8663
661,3.2166,0.0000,9.3359
665,-0.7061,-3.8442,10.9050
669,5.8840,-1.1768,7.3746
673,-1.0199,4.3934,5.6486
677,3.2950,-1.5691,9.2575
680,3.6088,-2.2751,14.8277
685,0.0000,6.1978,7.2961
689,-9.3359,-0.3138,6.7470
693,7.8453,-0.7061,13.3370
697,2.1182,0.5492,6.4332
700,-0.8630,0.7061,9.4144
704,-3.8442,-2.1967,18.5934
708,5.6486,-2.7459,4.1580
712,-1.4122,-1.9613,3.8442
716,0.1569,1.0199,16.4752
720,4.2365,-0.7845,10.1989
723,-8.0022,1.4122,11.3757
728,10.1205,-0.9414,6.3547
732,6.9823,-0.7845,6.8254
736,-3.6088,1.9613,13.7293
740,-2.7459,1.1768,7.7669
744,-4.3149,-2.5890,6.1194
747,0.7845,0.0000,10.1205
751,6.0409,-0.8630,8.9437
755,2.5890,1.3337,8.0807
759,-7.5315,-2.0398,13.4940
763,-2.2751,-1.9613,6.3547
768,0.7845,-1.5691,8.6299
771,1.3337,1.7260,10.5912
775,-0.2354,-2.1967,10.4343
779,0.0000,1.0199,7.7669
783,-4.7856,-0.3923,9.5713
787,4.6287,3.6873,11.3757
791,-0.6276,-3.6873,10.9834
794,-2.6674,0.9414,8.0022
798,-1.8829,1.5691,6.5116
802,7.1392,2.5890,11.6111
806,1.7260,-4.4718,11.3757
811,-1.5691,4.9426,14.2785
815,-3.0597,0.7845,11.3757
819,5.8840,-5.8840,3.0597
822,1.2553,1.0983,5.4917
826,8.6299,-1.9613,12.0818
830,-7.8453,-3.2950,16.3967
834,0.3138,1.4122,5.7271
838,4.3934,2.1182,13.2586
842,-7.8453,4.0796,8.9437
845,8.6299,-3.8442,5.7271
849,-1.0199,0.7061,9.6497
