Time,X,Y,Z
3,-1.5691,-3.6088,6.7470
7,7.0608,2.9028,5.4917
11,-2.1182,0.4707,9.1790
14,-4.0796,2.4320,13.1017
18,-4.7856,-2.7459,14.5923
22,-1.5691,-4.2365,3.6088
26,8.6299,0.7061,3.2950
30,-1.0983,2.7459,11.1404
33,-0.3138,2.1967,13.1801
37,1.8829,-2.9812,4.1580
41,6.3547,2.0398,12.1602
46,0.0000,-0.5492,10.2774
49,-2.3536,1.3337,8.3160
53,-6.5116,-2.9812,9.0221
57,9.3359,0.2354,6.5901
61,0.5492,0.2354,8.9437
64,1.7260,-4.9426,5.2564
68,0.0000,3.8442,13.7293
72,0.7061,-1.8829,4.8641
75,2.6674,-1.6475,10.0420
79,3.0597,-2.1182,9.0221
83,-0.6276,-0.9414,6.7470
88,1.5691,0.0785,9.5713
91,0.0000,1.4906,13.0232
95,-4.6287,-1.5691,14.5138
99,5.0995,-2.8243,6.2763
103,0.8630,0.1569,10.0420
107,0.4707,0.3138,8.7868
110,2.2751,0.0000,7.5315
114,-0.3138,-0.7845,10.6696
118,3.2166,-3.1381,6.3547
122,-3.8442,1.8829,8.0807
126,-2.1182,-3.1381,7.7669
130,5.0210,2.8243,14.2785
134,-1.2553,1.0983,14.9061
138,-5.7271,-2.5105,4.7072
142,3.9227,-0.7845,11.2188
146,0.0000,-3.6873,6.8254
150,-5.4133,-1.2553,7.6884
153,3.6873,0.8630,12.4741
157,3.2166,-4.8641,13.6509
161,-7.9238,-0.3138,5.5702
165,5.0210,-0.3923,11.2973
169,2.9812,-0.3923,10.5127
174,0.3138,1.1768,6.8254
177,-0.1569,0.9414,9.6497
181,1.0199,2.9812,11.7680
185,-2.1182,-2.9812,11.6111
189,-7.3746,2.1182,6.0409
193,5.0995,-4.3934,8.4729
197,0.3138,0.9414,7.3746
200,3.2166,-1.9613,8.4729
204,0.0785,1.0199,11.0619
208,1.1768,3.1381,8.4729
212,3.3735,-6.3547,13.8078
217,-20.0840,3.7658,-17.9658
221,-20.0840,5.6486,20.0448
225,7.5315,5.3348,14.1216
228,16.9459,-2.2751,-1.1768
232,20.0448,-5.0995,10.4343
236,8.7868,4.3149,4.2365
240,-16.0045,-1.0983,-9.6497
244,-2.1967,0.2354,9.1006
248,-2.2751,2.7459,20.0448
252,-10.0420,-1.9613,6.4332
256,8.7868,0.9414,2.0398
260,-6.9823,-1.8044,7.9238
264,-8.5514,-18.7503,16.7890
268,-20.0840,18.1227,-0.0785
272,-2.5105,-8.9437,20.0448
276,1.1768,-5.1779,-1.8044
280,10.5127,-1.4122,1.3337
284,20.0448,9.5713,9.7282
287,9.9636,1.7260,0.6276
291,-9.2575,-1.6475,-10.9834
295,-3.9227,2.6674,20.0056
300,-18.9857,1.6475,20.0448
304,-14.3569,-0.3138,4.5503
308,19.4564,-8.2376,5.5702
312,3.4519,4.7072,4.1580
315,6.7470,1.9613,11.1404
319,12.3956,-10.3558,2.2751
323,-2.9812,4.4718,16.1614
327,-12.5525,2.3536,8.0807
331,4.2365,-2.5105,3.4519
335,0.2354,3.2166,9.8066
338,4.7072,-4.0796,18.3580
343,-1.2553,-0.3138,10.0420
347,-3.1381,5.4133,7.4531
351,0.7061,-2.1182,9.8851
355,0.1569,-3.2950,5.0210
359,2.9028,6.5901,9.0221
362,5.2564,-2.6674,14.2000
366,-4.0011,-1.6475,8.8652
370,-6.8254,-2.0398,7.5315
374,-0.3923,0.7061,15.1415
378,5.4917,-4.5503,2.0398
382,0.7061,4.7856,2.9028
386,3.8442,-6.2763,10.1989
390,0.3923,1.2553,9.4144
394,2.1182,-2.2751,13.9647
398,-10.1989,3.5304,12.5525
402,-2.1967,-5.1779,4.3934
406,5.9624,1.0983,7.8453
409,1.7260,2.5105,9.8066
413,4.0011,1.5691,15.1415
417,2.1967,-3.2166,12.0033
421,-10.5912,-0.3923,3.3735
425,0.5492,0.0000,11.9249
430,11.4542,-1.0983,11.9249
433,-1.2553,2.1182,9.8066
437,-8.0022,2.5890,12.0818
441,-1.4906,-3.4519,4.4718
445,-4.4718,-0.6276,4.4718
449,7.9238,3.6088,18.6719
453,0.3923,-0.8630,8.0022
456,1.7260,0.0000,7.9238
460,0.4707,1.3337,10.5912
464,-3.9227,-0.8630,7.7669
468,-2.9812,0.7061,15.5337
473,-1.5691,-2.1182,5.8840
477,1.9613,1.7260,3.6873
480,0.6276,-2.2751,8.8652
484,2.2751,1.2553,16.5536
488,-4.0796,-0.6276,8.3945
492,-3.6088,1.4906,7.6884
496,3.7658,-6.3547,4.0796
500,8.0807,0.9414,9.2575
503,1.3337,0.4707,8.0807
507,-2.5105,-1.4122,14.0431
512,-5.0210,0.5492,7.2961
516,-3.4519,0.4707,9.1006
520,1.2553,-0.2354,8.8652
523,5.0210,1.4906,6.5116
527,8.4729,-5.3348,10.1989
531,-1.2553,1.4906,8.7083
535,4.0011,-0.5492,11.9249
539,-5.2564,-0.9414,10.5912
543,-5.4917,-0.3923,4.9426
546,1.4906,1.2553,20.0448
550,3.1381,-2.8243,11.0619
555,-5.2564,-4.2365,-3.6873
559,-2.0398,3.4519,10.9050
563,-8.8652,0.0000,10.0420
567,-0.6276,-0.9414,9.4928
571,-0.6276,3.6088,15.0630
574,8.9437,-2.1182,12.0033
578,1.7260,-3.3735,-2.1182
582,3.4519,2.3536,10.3558
586,4.3149,0.6276,14.4354
590,-2.1967,-2.9812,4.7856
594,0.5492,-1.5691,8.0022
598,5.9624,0.2354,3.3735
602,0.0785,0.5492,12.9448
606,-0.8630,-0.4707,17.8873
610,-9.3359,-3.6088,6.9823
614,4.2365,2.7459,0.0785
617,1.9613,-1.7260,6.9823
621,19.6133,-0.5492,20.0448
625,-5.4133,2.7459,17.5735
629,-6.1194,-3.1381,2.9812
633,-3.3735,8.1591,15.6122
637,-12.7094,-3.9227,4.2365
642,10.1989,-7.6100,8.0807
646,16.0045,2.7459,10.5912
649,-4.0011,-0.2354,10.9834
653,-0.4707,-1.3337,8.4729
657,-5.0210,-3.3735,9.3359
661,-8.9437,3.4519,14.0431
665,2.1182,0.4707,11.2188
669,5.2564,-1.3337,6.5116
672,1.4122,-4.3934,8.8652
676,-1.9613,0.4707,10.1989
680,6.9039,-4.4718,5.4917
685,-2.2751,0.1569,7.5315
689,3.9227,4.3934,11.6111
693,-2.5890,-0.8630,18.2011
696,-6.9039,1.8829,1.2553
700,0.7845,-0.7061,5.1779
704,6.5116,-1.6475,5.9624
708,0.5492,-1.4906,7.5315
712,-1.3337,5.4133,14.7492
716,0.6276,-3.1381,7.6100
719,2.4320,-1.2553,4.3934
723,3.7658,2.0398,13.4940
728,-3.4519,-0.3138,6.8254
732,7.9238,-8.1591,20.0448
736,-5.6486,2.1182,5.5702
740,-15.6906,0.3923,2.7459
743,-15.5337,1.8829,13.2586
747,10.9050,1.4122,13.4155
751,12.7879,-7.2961,13.5724
755,1.0983,-1.4906,6.1194
759,-15.3768,3.6873,3.5304
763,-5.0210,0.4707,8.9437
768,7.0608,-2.1182,16.6321
772,7.3746,-2.5105,7.7669
775,-5.3348,-4.0796,10.7481
779,0.9414,1.7260,8.7083
783,-4.0796,0.1569,13.9647
787,-2.7459,0.9414,15.0630
791,-5.8840,-5.1779,9.1006
795,-9.8851,-4.8641,1.4122
798,2.9028,3.7658,8.1591
802,9.0221,-1.8829,8.1591
806,13.2586,-4.7072,20.0448
811,-20.0840,0.4707,3.5304
815,-10.2774,-1.4906,4.6287
819,-2.8243,-2.1967,3.8442
823,13.0232,-1.4906,8.7868
826,9.1790,4.1580,11.9249
830,-1.2553,-3.4519,15.6122
834,-8.0807,1.7260,1.8044
838,-2.9812,1.0199,6.7470
842,4.5503,-1.4122,13.4940
846,6.3547,-3.6088,13.0232
849,-2.2751,-2.1182,2.4320
854,-0.5492,1.8829,10.9834
858,-0.2354,1.2553,10.5912
862,2.9812,-1.0199,9.9636
866,-0.7845,-1.6475,9.2575
870,-1.3337,-4.7856,8.2376
874,0.9414,1.3337,9.1006
877,-4.0796,-4.2365,2.5105
881,12.7879,3.1381,13.1801
885,-0.8630,-0.8630,6.5116
889,1.6475,-1.0199,12.2387
893,-2.5105,-2.6674,9.6497
898,-2.5105,-0.8630,8.7868
901,6.0409,-2.6674,6.5116
905,-2.8243,1.7260,12.8663
909,1.4906,0.0000,8.7083
913,-2.4320,0.0000,6.1194
917,0.0000,1.0983,15.9260
920,-9.1006,-0.7061,7.5315
924,3.9227,0.4707,6.9039
928,7.4531,-0.8630,8.5514
932,7.7669,1.8829,9.6497
936,9.4144,-6.0409,5.5702
940,-7.5315,-1.0199,7.9238
944,0.4707,3.4519,9.8851
948,-4.0011,2.1967,11.2188
952,4.2365,-4.7072,8.1591
956,5.0210,-1.4122,2.5105
959,0.2354,0.5492,6.6685
963,1.8829,-0.6276,14.2000
967,-7.6884,-2.6674,13.7293
971,7.5315,-2.9812,7.1392
975,-9.5713,-2.9028,4.9426
979,-0.8630,5.0210,16.7105
984,-2.5105,1.5691,11.7680
987,-3.8442,-2.1967,8.3160
991,2.2751,-2.1967,10.5127
995,-4.7856,-0.4707,9.6497
999,-1.0983,4.8641,12.7879
1003,-1.5691,-1.9613,5.1779
1007,13.1017,-5.3348,5.1779
1011,0.2354,-0.9414,8.7868
1014,-5.0210,-1.5691,10.7481
1018,-8.2376,1.8829,9.2575
1022,-9.0221,4.0011,18.5934
1027,8.3945,-1.3337,9.7282
