Time,X,Y,Z
3,-2.9812,-0.1569,20.0448
7,2.1967,-0.6276,13.3370
11,-0.6276,-2.0398,1.0199
15,3.8442,1.0983,7.6100
18,9.6497,1.2553,5.9624
22,-1.1768,-4.4718,6.5116
26,12.7094,4.3149,20.0448
30,-10.6696,4.2365,7.0608
33,-8.0807,-6.8254,-1.8829
37,-9.0221,-2.0398,8.3160
41,-4.3934,-3.5304,8.0022
46,4.8641,4.0011,10.2774
49,6.4332,-0.4707,11.2973
53,5.8840,-0.8630,4.4718
57,-2.5105,0.0000,7.1392
61,-3.1381,4.2365,14.4354
64,5.2564,0.8630,9.4928
68,-3.2950,-2.5105,13.6509
72,1.6475,2.1182,9.2575
76,-10.1205,-4.6287,8.3160
79,-8.7868,-1.9613,9.1790
83,-1.5691,4.7072,13.4155
88,2.5105,1.3337,4.9426
92,0.5492,0.0000,1.9613
95,-5.0210,0.7845,10.9050
99,8.7083,-2.3536,14.3569
103,2.4320,-3.0597,6.5116
107,2.7459,1.8044,8.6299
110,0.0000,1.0983,4.4718
114,0.0785,-3.6088,12.0033
118,1.6475,-1.0983,11.3757
122,3.6088,3.1381,9.6497
126,-3.8442,0.2354,5.9624
131,4.8641,0.0000,9.6497
134,-6.1978,-1.2553,3.6088
138,0.6276,1.3337,15.7691
142,0.0000,-1.3337,10.1989
146,4.0011,-1.0983,5.0995
150,-3.0597,4.0796,8.9437
153,3.6088,-1.7260,11.8464
157,-0.7061,-1.0983,10.6696
161,-7.6100,1.4122,7.9238
165,4.6287,3.1381,8.1591
169,0.0785,-4.3149,5.4917
174,7.6884,-4.8641,10.0420
177,-1.0199,1.4906,6.9039
181,-7.1392,-0.2354,11.2188
185,-1.0983,1.3337,9.7282
189,0.9414,0.7061,10.5912
193,0.0000,-1.3337,9.4928
197,-0.6276,0.3923,5.8055
200,6.2763,-0.9414,13.3370
204,-8.7868,0.0000,7.1392
208,-3.5304,-0.5492,10.5912
212,-1.2553,-2.6674,9.1006
217,6.3547,1.1768,7.7669
220,1.7260,-6.0409,5.8840
224,-1.9613,-0.7061,4.1580
228,5.8840,0.5492,11.2188
232,3.3735,-2.4320,9.7282
236,2.0398,-4.5503,8.3160
240,0.0785,-4.4718,0.0000
243,4.4718,-3.7658,8.9437
247,-2.3536,2.0398,12.2387
251,-7.6100,0.5492,15.2199
256,8.7868,0.3923,8.9437
260,-4.7072,-1.9613,7.2177
263,-3.3735,2.9028,13.8078
267,2.5890,-1.5691,9.9636
271,1.5691,3.1381,12.5525
275,-2.6674,1.4122,9.2575
279,-0.1569,-2.7459,7.8453
283,-0.6276,2.8243,12.7094
287,-4.2365,-0.3923,3.0597
290,1.1768,-4.5503,10.7481
294,7.6884,-1.0199,8.1591
299,-0.1569,3.2166,11.2188
303,-10.3558,1.3337,11.0619
307,4.5503,1.1768,17.5735
311,6.2763,1.5691,6.3547
314,1.5691,-0.9414,8.7083
318,-6.9823,-0.7845,11.4542
322,2.5890,6.8254,15.6122
326,1.4122,-0.2354,4.1580
330,6.9823,2.2751,13.4940
334,20.0448,7.6100,11.9249
338,20.0448,0.2354,-17.8873
342,-6.4332,-2.0398,17.5735
346,20.0448,-3.2950,5.1779
350,20.0448,5.0210,6.5901
354,-20.0840,0.5492,18.2796
358,-20.0840,-1.1768,1.8044
362,-13.5724,-5.4917,7.2177
366,10.0420,0.5492,13.2586
370,12.5525,3.2166,15.6906
373,9.4144,-0.4707,10.0420
377,-16.7105,-8.0022,4.5503
381,-5.2564,-5.7271,12.0033
386,-3.3735,1.4906,4.0011
390,5.7271,-5.8840,1.1768
394,2.3536,-3.2166,13.7293
398,-9.4928,6.2763,12.6310
401,-5.2564,0.5492,9.1790
405,0.0785,-2.4320,10.9050
409,6.6685,-0.1569,11.2188
413,5.2564,-2.0398,7.2177
417,4.7856,4.7072,10.8265
421,1.5691,-2.1967,8.4729
424,-2.5105,6.1978,15.9260
429,-2.1967,-2.0398,11.3757
433,-1.8829,-5.8840,7.8453
437,6.5901,-1.5691,0.3138
441,0.2354,2.4320,3.1381
445,5.9624,0.2354,14.7492
448,-3.2166,-2.7459,15.6906
452,-0.7061,-3.4519,6.9823
456,-2.3536,-1.0199,3.1381
460,6.1194,-4.2365,6.5901
464,-0.7845,-1.6475,14.2785
468,-3.6873,2.5105,13.1017
473,5.8840,-5.0995,5.4133
476,0.7061,3.7658,10.5127
480,3.2950,-3.6873,5.0995
484,0.5492,1.3337,14.2785
488,-4.0011,1.8044,13.1801
492,0.3923,4.0011,5.7271
495,-1.4906,-3.7658,8.7868
499,0.2354,-1.4906,11.7680
503,-1.8044,-1.9613,6.9823
507,1.2553,2.2751,8.8652
512,1.6475,-4.5503,9.0221
516,5.8055,-2.0398,8.8652
519,4.2365,-2.9028,10.0420
523,-6.5116,3.3735,8.1591
527,6.1194,-4.0796,11.0619
531,4.6287,1.1768,9.4928
535,3.4519,0.3138,9.4144
538,-1.8044,0.7061,15.2199
542,1.8829,2.3536,10.1205
546,-3.8442,-0.4707,4.5503
550,-3.8442,1.4122,14.2785
555,1.8829,-2.1182,7.6100
559,7.2961,-0.8630,8.4729
563,-4.3149,-0.7061,12.3956
566,1.7260,-3.6873,12.3956
570,-4.9426,-3.5304,7.2177
574,5.8055,1.0983,7.6884
578,0.0000,0.5492,8.1591
582,-0.7061,1.8829,9.0221
585,-3.0597,2.5105,3.6088
589,-0.2354,-2.1967,9.1006
593,1.5691,1.3337,9.7282
598,5.3348,2.0398,8.7083
602,5.3348,0.0785,7.2961
605,-3.8442,-1.0199,5.3348
