Time,X,Y,Z
6012,-3.2166,0.2354,6.2763
6017,-0.5492,-0.3138,9.8066
6021,0.2354,0.9414,7.2961
6025,0.3138,2.7459,11.5326
6029,1.3337,0,12.5525
6033,6.8254,0.6276,8.7868
6037,-1.4122,4.0796,12.5525
6040,0.4707,-2.1967,8.316
6044,1.4906,-5.021,7.3746
6048,0.863,-3.9227,12.5525
6052,0.7845,3.1381,14.8277
6056,-2.2751,-1.1768,6.9039
6061,3.3735,-2.1182,3.295
6065,0.0785,6.5116,11.6111
6069,-1.8044,-4.9426,7.4531
6073,1.3337,-1.2553,10.905
6076,5.1779,-6.1978,6.1194
6080,0.5492,4.0011,14.0431
6084,-2.5105,-3.9227,7.8453
6088,9.6497,-3.7658,5.6486
6092,0.9414,1.9613,13.0232
6096,-3.6873,0.9414,6.5901
6100,2.2751,-2.5105,8.0807
6105,-5.4917,3.4519,11.4542
6109,0.863,-3.7658,10.2774
6112,0.3923,0.9414,5.9624
6116,2.1182,-6.0409,8.3945
6120,-2.9812,2.8243,14.5138
6124,-7.2961,1.6475,5.6486
6128,0,-0.7845,13.337
6132,0.5492,-2.5105,3.9227
6136,7.5315,-0.3923,4.7072
6140,2.5105,2.5105,17.0243
6145,-1.726,-3.9227,10.5127
6148,-10.042,-14.0431,5.7271
6152,-20.084,-4.4718,5.4917
6156,20.0448,-6.9823,18.2796
6160,20.0448,-2.5105,8.0807
6164,20.0448,-1.5691,19.6133
6168,-2.3536,3.295,0.4707
6172,-16.0045,-2.9028,2.5105
6176,-8.2376,-2.2751,8.1591
6180,7.5315,2.589,15.2199
6184,10.5912,-0.4707,16.7105
6189,-3.6873,-2.1967,5.2564
6193,-6.1194,-1.0199,3.6088
6196,1.8829,-1.4906,15.7691
6200,-20.084,3.9227,0.3138
6204,-20.084,-2.1182,20.0448
6208,2.5105,0.5492,1.4906
6212,20.0448,-2.3536,6.5901
6216,20.0448,-3.5304,15.2984
6220,1.726,-4.9426,1.1768
6224,-20.084,0,3.6088
6228,-10.2774,-10.1989,16.1614
6233,0.3138,3.5304,17.8873
6237,14.9846,4.0011,3.2166
6241,2.589,2.7459,6.1978
6244,0.0785,2.589,3.295
6248,-3.9227,2.5105,12.8663
6252,-2.9028,-5.7271,15.8475
6256,0.0785,6.2763,11.5326
6260,1.4906,-2.9028,1.8829
6264,2.1967,0.9414,0.2354
6268,6.6685,-1.6475,15.6906
6273,-2.1182,-7.7669,17.5735
6277,-2.1182,5.7271,15.2199
6281,-4.0011,-2.5105,1.4122
6284,-2.6674,1.9613,2.1182
6288,1.0983,-2.2751,9.2575
6292,6.3547,3.1381,20.0448
6296,1.1768,-5.021,11.2188
6300,5.6486,0.7845,8.316
6304,-1.0199,-0.9414,5.2564
6308,-4.0011,-0.4707,-0.7845
6312,-2.432,2.5105,14.9846
6317,3.6088,-0.1569,15.3768
6320,1.6475,0.5492,7.5315
6324,3.2166,-3.0597,8.7868
6328,0,-0.7845,2.9028
6332,2.8243,-2.0398,10.5127
6336,1.4906,6.1194,16.2398
6340,0.1569,-1.8829,13.494
6344,-3.1381,-2.1182,5.2564
6348,-2.1967,0,9.1006
6351,1.726,-0.1569,12.5525
6355,1.4122,-3.1381,6.9039
6360,0,4.6287,12.5525
6364,4.4718,-1.4122,6.2763
6368,-4.8641,-1.726,4.9426
6372,-0.4707,0.2354,9.2575
6376,4.2365,2.3536,11.6895
6380,-0.863,-3.295,7.5315
6383,-5.8055,-0.2354,13.494
6387,-5.0995,5.021,9.4928
6391,-4.3934,-1.9613,7.3746
6395,11.768,-2.589,10.042
6400,1.0199,2.8243,8.3945
6404,-6.5901,2.3536,10.7481
6408,-3.8442,-3.7658,4.8641
6412,-2.6674,0.2354,6.4332
